SiteID,Year,FacilityType,County,Subbasin,Name,Type,AvgDaily,DaysUsed,Capacity_MGD
0831-0001,2010,Mining,Chatham,Deep River (02-2),No Sources Listed.,,,,
0831-0001,2011,Mining,Chatham,Deep River (02-2),No Sources Listed.,,,,
0831-0001,2012,Mining,Chatham,Deep River (02-2),No Sources Listed.,,,,
0831-0001,2013,Mining,Chatham,Deep River (02-2),Quarry sump pump,Well,0.329,365,1.280
0831-0001,2014,Mining,Chatham,Deep River (02-2),Quarry sump pump,Well,0.257,365,1.280
0831-0001,2015,Mining,Chatham,Deep River (02-2),Quarry sump pump,Quarry,0.379,365,1.280
0831-0001,2016,Mining,Chatham,Deep River (02-2),Quarry sump pump,Quarry,0.315,365,1.280
0831-0001,2017,Mining,Chatham,Deep River (02-2),Quarry sump pump,Quarry,0.205,365,1.280
0292-0001,2010,Industrial,Robeson,Lumber River (09-1),Alamac Well #4,Well,0.400,208,0.500
0292-0001,2010,Industrial,Robeson,Lumber River (09-1),Alamac Well #5,Well,0.400,208,0.500
0292-0001,2010,Industrial,Robeson,Lumber River (09-1),Alamac Well #1,Well,0.400,208,0.500
0292-0001,2010,Industrial,Robeson,Lumber River (09-1),Alamac Well #2,Well,0.400,208,0.500
0292-0001,2011,Industrial,Robeson,Lumber River (09-1),Alamac Well #4,Well,0.310,208,0.500
0292-0001,2011,Industrial,Robeson,Lumber River (09-1),Alamac Well #5,Well,0.310,208,0.500
0292-0001,2011,Industrial,Robeson,Lumber River (09-1),Alamac Well #1,Well,0.310,208,0.500
0292-0001,2011,Industrial,Robeson,Lumber River (09-1),Alamac Well #2,Well,0.310,208,0.500
0292-0001,2012,Industrial,Robeson,Lumber River (09-1),Alamac Well #4,Well,0.383,208,0.500
0292-0001,2012,Industrial,Robeson,Lumber River (09-1),Alamac Well #5,Well,0.383,208,0.500
0292-0001,2012,Industrial,Robeson,Lumber River (09-1),Alamac Well #1,Well,0.383,208,0.500
0292-0001,2012,Industrial,Robeson,Lumber River (09-1),Alamac Well #2,Well,0.383,208,0.500
0292-0001,2013,Industrial,Robeson,Lumber River (09-1),Alamac Well #4,Well,0.478,208,0.500
0292-0001,2013,Industrial,Robeson,Lumber River (09-1),Alamac Well #5,Well,0.478,208,0.500
0292-0001,2013,Industrial,Robeson,Lumber River (09-1),Alamac Well #1,Well,0.478,208,0.500
0292-0001,2013,Industrial,Robeson,Lumber River (09-1),Alamac Well #2,Well,0.478,208,0.500
0292-0001,2014,Industrial,Robeson,Lumber River (09-1),Alamac Well #4,Well,0.553,260,0.500
0292-0001,2014,Industrial,Robeson,Lumber River (09-1),Alamac Well #5,Well,0.553,260,0.500
0292-0001,2014,Industrial,Robeson,Lumber River (09-1),Alamac Well #1,Well,0.553,260,0.500
0292-0001,2014,Industrial,Robeson,Lumber River (09-1),Alamac Well #2,Well,0.553,260,0.500
0292-0001,2015,Industrial,Robeson,Lumber River (09-1),Alamac Well #4,Well,0.106,216,0.500
0292-0001,2015,Industrial,Robeson,Lumber River (09-1),Alamac Well #5,Well,0.253,308,0.500
0292-0001,2015,Industrial,Robeson,Lumber River (09-1),Alamac Well #1,Well,0.077,259,0.500
0292-0001,2015,Industrial,Robeson,Lumber River (09-1),Alamac Well #2,Well,0.243,282,0.500
0292-0001,2016,Industrial,Robeson,Lumber River (09-1),Alamac Well #4,Well,0.100,141,0.500
0292-0001,2016,Industrial,Robeson,Lumber River (09-1),Alamac Well #5,Well,0.297,342,0.500
0292-0001,2016,Industrial,Robeson,Lumber River (09-1),Alamac Well #1,Well,0.066,323,0.500
0292-0001,2016,Industrial,Robeson,Lumber River (09-1),Alamac Well #2,Well,0.159,190,0.500
0292-0001,2017,Industrial,Robeson,Lumber River (09-1),Alamac Well #4,Well,0.000,0,0.500
0292-0001,2017,Industrial,Robeson,Lumber River (09-1),Alamac Well #5,Well,0.199,362,0.500
0292-0001,2017,Industrial,Robeson,Lumber River (09-1),Alamac Well #1,Well,0.008,12,0.500
0292-0001,2017,Industrial,Robeson,Lumber River (09-1),Alamac Well #2,Well,0.189,322,0.500
0043-0001,2010,Recreation,Alamance,Haw River (02-1),"Truitt Dr. Burlington, NC",Well,0.100,90,0.180
0043-0001,2010,Recreation,Alamance,Haw River (02-1),Irrigation pond,Pond,0.080,160,0.360
0043-0001,2010,Recreation,Alamance,Haw River (02-1),Well near #3 fairway,Well,0.100,80,0.144
0043-0001,2011,Recreation,Alamance,Haw River (02-1),"Truitt Dr. Burlington, NC",Well,0.100,90,0.180
0043-0001,2011,Recreation,Alamance,Haw River (02-1),Irrigation pond,Pond,0.077,182,0.360
0043-0001,2011,Recreation,Alamance,Haw River (02-1),Well near #3 fairway,Well,0.100,80,0.144
0043-0001,2012,Recreation,Alamance,Haw River (02-1),"Truitt Dr. Burlington, NC",Well,,,0.180
0043-0001,2012,Recreation,Alamance,Haw River (02-1),Irrigation pond,Pond,0.087,162,0.360
0043-0001,2012,Recreation,Alamance,Haw River (02-1),Well near #3 fairway,Well,,,0.144
0043-0001,2013,Recreation,Alamance,Haw River (02-1),"Truitt Dr. Burlington, NC",Well,0.000,0,0.180
0043-0001,2013,Recreation,Alamance,Haw River (02-1),Irrigation pond,Pond,0.072,135,0.360
0043-0001,2013,Recreation,Alamance,Haw River (02-1),Well near #3 fairway,Well,0.000,0,0.144
0043-0001,2014,Recreation,Alamance,Haw River (02-1),"Truitt Dr. Burlington, NC",Well,0.000,0,0.180
0043-0001,2014,Recreation,Alamance,Haw River (02-1),Irrigation pond,Pond,0.041,151,0.360
0043-0001,2014,Recreation,Alamance,Haw River (02-1),Well near #3 fairway,Well,0.000,0,0.144
0043-0001,2015,Recreation,Alamance,Haw River (02-1),"Truitt Dr. Burlington, NC",Well,0.100,15,0.180
0043-0001,2015,Recreation,Alamance,Haw River (02-1),Irrigation pond,Pond,0.130,121,0.360
0043-0001,2015,Recreation,Alamance,Haw River (02-1),Well near #3 fairway,Well,0.100,30,0.144
0043-0001,2016,Recreation,Alamance,Haw River (02-1),"Truitt Dr. Burlington, NC",Well,,,0.180
0043-0001,2016,Recreation,Alamance,Haw River (02-1),Irrigation pond,Pond,0.245,156,0.360
0043-0001,2016,Recreation,Alamance,Haw River (02-1),Well near #3 fairway,Well,,,0.144
0043-0001,2017,Recreation,Alamance,Haw River (02-1),"Truitt Dr. Burlington, NC",Well,0.100,15,0.180
0043-0001,2017,Recreation,Alamance,Haw River (02-1),Irrigation pond,Pond,0.130,82,0.360
0043-0001,2017,Recreation,Alamance,Haw River (02-1),Well near #3 fairway,Well,0.100,30,0.144
0004-0001,2010,Industrial,Gaston,Catawba River (03-1),Catawba River,River,0.666,317,3.456
0004-0001,2011,Industrial,Gaston,Catawba River (03-1),Catawba River,River,0.895,247,3.456
0004-0001,2012,Industrial,Gaston,Catawba River (03-1),Catawba River,River,0.599,313,3.456
0004-0001,2013,Industrial,Gaston,Catawba River (03-1),Catawba River,River,0.872,247,3.456
0004-0001,2014,Industrial,Gaston,Catawba River (03-1),Catawba River,River,1.007,250,3.456
0004-0001,2015,Industrial,Gaston,Catawba River (03-1),Catawba River,River,0.908,254,3.456
0004-0001,2016,Industrial,Gaston,Catawba River (03-1),Catawba River,River,0.731,301,3.456
0004-0001,2017,Industrial,Gaston,Catawba River (03-1),Catawba River,River,0.579,356,3.456
0823-0001,2010,Mining,Cumberland,Cape Fear River (02-3),No Sources Listed.,,,,
0823-0001,2011,Mining,Cumberland,Cape Fear River (02-3),Sand Pit,Quarry,0.500,144,0.550
0823-0001,2012,Mining,Cumberland,Cape Fear River (02-3),Sand Pit,Quarry,0.773,167,1.224
0823-0001,2013,Mining,Cumberland,Cape Fear River (02-3),Sand Pit,Quarry,0.750,204,1.224
0823-0001,2014,Mining,Cumberland,Cape Fear River (02-3),Sand Pit,Quarry,0.683,197,1.224
0823-0001,2015,Mining,Cumberland,Cape Fear River (02-3),No Sources Listed.,,,,
0823-0001,2016,Mining,Cumberland,Cape Fear River (02-3),No Sources Listed.,,,,
0823-0001,2017,Mining,Cumberland,Cape Fear River (02-3),Sand Pit,Quarry,0.505,205,1.224
0772-0001,2010,Recreation,Harnett,Cape Fear River (02-3),Pump Station,Pond,0.208,89,2.160
0772-0001,2011,Recreation,Harnett,Cape Fear River (02-3),Pump Station,Pond,0.320,38,2.160
0772-0001,2012,Recreation,Harnett,Cape Fear River (02-3),Pump Station,Pond,0.214,66,2.160
0772-0001,2013,Recreation,Harnett,Cape Fear River (02-3),Pump Station,Pond,0.196,58,2.160
0772-0001,2014,Recreation,Harnett,Cape Fear River (02-3),Pump Station,Pond,0.198,54,2.160
0772-0001,2015,Recreation,Harnett,Cape Fear River (02-3),Pump Station,Pond,0.236,84,2.160
0772-0001,2016,Recreation,Harnett,Cape Fear River (02-3),Pump Station,Pond,0.296,87,2.160
0772-0001,2017,Recreation,Harnett,Cape Fear River (02-3),Pump Station,Pond,0.229,69,2.160
0218-0016,2010,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.005,365,0.036
0218-0016,2010,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.003,365,0.017
0218-0016,2011,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.005,365,0.036
0218-0016,2011,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.003,365,0.017
0218-0016,2012,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.005,366,0.036
0218-0016,2012,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.003,366,0.017
0218-0016,2013,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.004,365,15.301
0218-0016,2013,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.002,365,8.079
0218-0016,2014,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.006,365,0.022
0218-0016,2014,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.002,169,0.017
0218-0016,2015,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.004,348,0.022
0218-0016,2015,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.003,361,0.017
0218-0016,2016,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.006,338,0.022
0218-0016,2016,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.001,353,0.017
0218-0016,2017,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.006,365,0.022
0218-0016,2017,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.002,332,0.017
0218-0017,2010,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.015,365,0.064
0218-0017,2010,Public Water Supply,Gaston,Catawba River (03-1),WELL #2,Well,0.006,365,0.026
0218-0017,2011,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.016,365,0.063
0218-0017,2011,Public Water Supply,Gaston,Catawba River (03-1),WELL #2,Well,0.005,365,0.058
0218-0017,2012,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.016,366,0.063
0218-0017,2012,Public Water Supply,Gaston,Catawba River (03-1),WELL #2,Well,0.003,366,0.058
0218-0017,2013,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.017,365,0.063
0218-0017,2013,Public Water Supply,Gaston,Catawba River (03-1),WELL #2,Well,0.005,365,0.058
0218-0017,2014,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.020,365,0.064
0218-0017,2014,Public Water Supply,Gaston,Catawba River (03-1),Well #2,Well,0.001,84,0.056
0218-0017,2015,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.021,365,0.064
0218-0017,2015,Public Water Supply,Gaston,Catawba River (03-1),Well #2,Well,0.000,17,0.056
0218-0017,2016,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.026,366,0.064
0218-0017,2016,Public Water Supply,Gaston,Catawba River (03-1),Well #2,Well,0.000,34,0.056
0218-0017,2017,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.002,91,0.064
0218-0017,2017,Public Water Supply,Gaston,Catawba River (03-1),Well #2,Well,0.027,365,0.056
0218-0018,2010,Public Water Supply,Johnston,Neuse River (10-1),Well #1,Well,0.005,365,0.068
0218-0018,2011,Public Water Supply,Johnston,Neuse River (10-1),Well #1,Well,0.005,365,0.068
0218-0018,2012,Public Water Supply,Johnston,Neuse River (10-1),Well #1,Well,0.005,366,0.068
0218-0018,2013,Public Water Supply,Johnston,Neuse River (10-1),Well #1,Well,0.005,365,0.068
0218-0018,2014,Public Water Supply,Johnston,Neuse River (10-1),Well #1,Well,0.005,365,0.068
0218-0018,2015,Public Water Supply,Johnston,Neuse River (10-1),Well #1,Well,0.005,365,0.068
0218-0018,2016,Public Water Supply,Johnston,Neuse River (10-1),Well #1,Well,0.005,366,0.068
0218-0018,2017,Public Water Supply,Johnston,Neuse River (10-1),Well #1,Well,0.006,365,0.068
0218-0019,2010,Public Water Supply,Surry,Yadkin River (18-1),Well #1,Well,0.003,365,0.019
0218-0019,2010,Public Water Supply,Surry,Yadkin River (18-1),Well #2,Well,0.003,92,0.009
0218-0019,2011,Public Water Supply,Surry,Yadkin River (18-1),Well #1,Well,0.001,212,0.019
0218-0019,2011,Public Water Supply,Surry,Yadkin River (18-1),Well #2,Well,0.003,365,0.009
0218-0019,2012,Public Water Supply,Surry,Yadkin River (18-1),Well #1,Well,0.001,366,0.019
0218-0019,2012,Public Water Supply,Surry,Yadkin River (18-1),Well #2,Well,0.003,365,0.009
0218-0019,2013,Public Water Supply,Surry,Yadkin River (18-1),Well #1,Well,0.001,365,9.098
0218-0019,2013,Public Water Supply,Surry,Yadkin River (18-1),Well #2,Well,0.004,365,13.076
0218-0019,2014,Public Water Supply,Surry,Yadkin River (18-1),Well #1,Well,0.000,111,0.013
0218-0019,2014,Public Water Supply,Surry,Yadkin River (18-1),Well #2,Well,0.004,365,0.019
0218-0019,2015,Public Water Supply,Surry,Yadkin River (18-1),Well #1,Well,0.000,0,0.013
0218-0019,2015,Public Water Supply,Surry,Yadkin River (18-1),Well #2,Well,0.004,365,0.019
0218-0019,2016,Public Water Supply,Surry,Yadkin River (18-1),Well #1,Well,0.000,0,0.013
0218-0019,2016,Public Water Supply,Surry,Yadkin River (18-1),Well #2,Well,0.005,366,0.019
0218-0019,2017,Public Water Supply,Surry,Yadkin River (18-1),Well #1,Well,0.000,0,0.013
0218-0019,2017,Public Water Supply,Surry,Yadkin River (18-1),Well #2,Well,0.005,365,0.019
0218-0020,2010,Public Water Supply,Randolph,Deep River (02-2),No Sources Listed.,,,,
0218-0020,2011,Public Water Supply,Randolph,Deep River (02-2),Well #1,Well,0.007,365,0.052
0218-0020,2012,Public Water Supply,Randolph,Deep River (02-2),Well #1,Well,0.007,366,0.052
0218-0020,2013,Public Water Supply,Randolph,Deep River (02-2),Well #1,Well,0.005,365,0.052
0218-0020,2014,Public Water Supply,Randolph,Deep River (02-2),Well #1,Well,0.005,365,0.021
0218-0020,2015,Public Water Supply,Randolph,Deep River (02-2),Well #1,Well,0.005,365,0.021
0218-0020,2016,Public Water Supply,Randolph,Deep River (02-2),Well #1,Well,0.004,366,0.021
0218-0020,2017,Public Water Supply,Randolph,Deep River (02-2),Well #1,Well,0.003,365,0.021
0218-0021,2010,Public Water Supply,Wake,Neuse River (10-1),Well #1,Well,0.010,365,0.026
0218-0021,2010,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.007,365,0.029
0218-0021,2010,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.005,365,0.036
0218-0021,2010,Public Water Supply,Wake,Neuse River (10-1),Well #4,Well,0.002,365,0.032
0218-0021,2011,Public Water Supply,Wake,Neuse River (10-1),Well #1,Well,0.005,365,0.026
0218-0021,2011,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.003,365,0.029
0218-0021,2011,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.005,365,0.036
0218-0021,2011,Public Water Supply,Wake,Neuse River (10-1),Well #4,Well,0.005,365,0.032
0218-0021,2012,Public Water Supply,Wake,Neuse River (10-1),Well #1,Well,0.005,365,0.026
0218-0021,2012,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.008,365,0.029
0218-0021,2012,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.007,366,0.036
0218-0021,2012,Public Water Supply,Wake,Neuse River (10-1),Well #4,Well,0.003,365,0.032
0218-0021,2013,Public Water Supply,Wake,Neuse River (10-1),Well #1,Well,0.006,365,0.026
0218-0021,2013,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.005,365,0.029
0218-0021,2013,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.005,365,0.036
0218-0021,2013,Public Water Supply,Wake,Neuse River (10-1),Well #4,Well,0.004,365,0.032
0218-0021,2014,Public Water Supply,Wake,Neuse River (10-1),Well #1,Well,0.006,365,0.026
0218-0021,2014,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.005,365,0.029
0218-0021,2014,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.006,365,0.036
0218-0021,2014,Public Water Supply,Wake,Neuse River (10-1),Well #4,Well,0.005,365,0.032
0218-0021,2015,Public Water Supply,Wake,Neuse River (10-1),Well #1,Well,0.006,361,0.026
0218-0021,2015,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.005,365,0.029
0218-0021,2015,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.007,365,0.036
0218-0021,2015,Public Water Supply,Wake,Neuse River (10-1),Well #4,Well,0.005,351,0.032
0218-0021,2016,Public Water Supply,Wake,Neuse River (10-1),Well #1,Well,0.006,366,0.026
0218-0021,2016,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.006,366,0.029
0218-0021,2016,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.007,366,0.036
0218-0021,2016,Public Water Supply,Wake,Neuse River (10-1),Well #4,Well,0.003,167,0.032
0218-0021,2017,Public Water Supply,Wake,Neuse River (10-1),Well #1,Well,0.006,365,0.026
0218-0021,2017,Public Water Supply,Wake,Neuse River (10-1),Well #2,Well,0.006,365,0.029
0218-0021,2017,Public Water Supply,Wake,Neuse River (10-1),Well #3,Well,0.006,365,0.036
0218-0021,2017,Public Water Supply,Wake,Neuse River (10-1),Well #4,Well,0.003,229,0.032
0218-0022,2010,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.011,365,0.044
0218-0022,2010,Public Water Supply,Gaston,Catawba River (03-1),Well #2,Well,0.016,365,0.070
0218-0022,2011,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.022,365,0.052
0218-0022,2011,Public Water Supply,Gaston,Catawba River (03-1),Well #2,Well,0.008,365,0.069
0218-0022,2012,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.016,366,0.052
0218-0022,2012,Public Water Supply,Gaston,Catawba River (03-1),Well #2,Well,0.011,366,0.069
0218-0022,2013,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.009,365,0.052
0218-0022,2013,Public Water Supply,Gaston,Catawba River (03-1),Well #2,Well,0.022,365,0.069
0218-0022,2014,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.012,192,0.056
0218-0022,2014,Public Water Supply,Gaston,Catawba River (03-1),Well #2,Well,0.021,365,0.068
0218-0022,2015,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.003,143,0.056
0218-0022,2015,Public Water Supply,Gaston,Catawba River (03-1),Well #2,Well,0.028,365,0.068
0218-0022,2016,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.000,97,0.056
0218-0022,2016,Public Water Supply,Gaston,Catawba River (03-1),Well #2,Well,0.029,366,0.068
0218-0022,2017,Public Water Supply,Gaston,Catawba River (03-1),Well #1,Well,0.002,91,0.056
0218-0022,2017,Public Water Supply,Gaston,Catawba River (03-1),Well #2,Well,0.027,365,0.068
0218-0013,2010,Public Water Supply,Forsyth,Roanoke River (14-1),No Sources Listed.,,,,
0218-0013,2011,Public Water Supply,Forsyth,Roanoke River (14-1),Well #1,Well,0.016,365,0.072
0218-0013,2011,Public Water Supply,Forsyth,Roanoke River (14-1),Well #2,Well,0.008,365,0.065
0218-0013,2011,Public Water Supply,Forsyth,Roanoke River (14-1),Well #3,Well,0.005,365,0.014
0218-0013,2011,Public Water Supply,Forsyth,Roanoke River (14-1),Well #4 Vancover Court - Appl,Well,0.003,60,0.014
0218-0013,2012,Public Water Supply,Forsyth,Roanoke River (14-1),Well #1,Well,0.020,365,0.072
0218-0013,2012,Public Water Supply,Forsyth,Roanoke River (14-1),Well #2,Well,0.005,365,0.065
0218-0013,2012,Public Water Supply,Forsyth,Roanoke River (14-1),Well #3,Well,0.005,365,0.014
0218-0013,2012,Public Water Supply,Forsyth,Roanoke River (14-1),Well #4 Vancover Court - Appl,Well,0.001,366,0.014
0218-0013,2013,Public Water Supply,Forsyth,Roanoke River (14-1),Well #1,Well,0.016,365,0.000
0218-0013,2013,Public Water Supply,Forsyth,Roanoke River (14-1),Well #2,Well,0.006,365,0.065
0218-0013,2013,Public Water Supply,Forsyth,Roanoke River (14-1),Well #3,Well,0.009,365,0.014
0218-0013,2013,Public Water Supply,Forsyth,Roanoke River (14-1),Well #4 Vancover Court - Appl,Well,0.003,365,0.014
0218-0013,2014,Public Water Supply,Forsyth,Roanoke River (14-1),Well #1,Well,0.016,365,0.076
0218-0013,2014,Public Water Supply,Forsyth,Roanoke River (14-1),Well #2,Well,0.006,365,0.030
0218-0013,2014,Public Water Supply,Forsyth,Roanoke River (14-1),Well #3,Well,0.003,365,0.014
0218-0013,2014,Public Water Supply,Forsyth,Roanoke River (14-1),Well #4 Vancover Court - Appl,Well,0.003,365,0.014
0218-0013,2015,Public Water Supply,Forsyth,Roanoke River (14-1),Well #1,Well,0.015,365,0.076
0218-0013,2015,Public Water Supply,Forsyth,Roanoke River (14-1),Well #2,Well,0.006,365,0.030
0218-0013,2015,Public Water Supply,Forsyth,Roanoke River (14-1),Well #3,Well,0.003,365,0.014
0218-0013,2015,Public Water Supply,Forsyth,Roanoke River (14-1),Well #4 Vancover Court - Appl,Well,0.003,362,0.014
0218-0013,2016,Public Water Supply,Forsyth,Roanoke River (14-1),Well #1,Well,0.014,366,0.076
0218-0013,2016,Public Water Supply,Forsyth,Roanoke River (14-1),Well #2,Well,0.006,366,0.030
0218-0013,2016,Public Water Supply,Forsyth,Roanoke River (14-1),Well #3,Well,0.003,366,0.014
0218-0013,2016,Public Water Supply,Forsyth,Roanoke River (14-1),Well #4 Vancover Court - Appl,Well,0.003,361,0.014
0218-0013,2017,Public Water Supply,Forsyth,Roanoke River (14-1),Well #1,Well,0.017,365,0.076
0218-0013,2017,Public Water Supply,Forsyth,Roanoke River (14-1),Well #2,Well,0.007,365,0.030
0218-0013,2017,Public Water Supply,Forsyth,Roanoke River (14-1),Well #3,Well,0.003,311,0.014
0218-0013,2017,Public Water Supply,Forsyth,Roanoke River (14-1),Well #4 Vancover Court - Appl,Well,0.003,365,0.014
0218-0023,2010,Public Water Supply,Guilford,Haw River (02-1),No Sources Listed.,,,,
0218-0023,2011,Public Water Supply,Guilford,Haw River (02-1),Well #1,Well,0.005,365,0.029
0218-0023,2011,Public Water Supply,Guilford,Haw River (02-1),Well #2,Well,0.041,365,0.230
0218-0023,2011,Public Water Supply,Guilford,Haw River (02-1),well #4,Well,0.016,365,0.069
0218-0023,2012,Public Water Supply,Guilford,Haw River (02-1),Well #1,Well,0.006,366,0.029
0218-0023,2012,Public Water Supply,Guilford,Haw River (02-1),Well #2,Well,0.041,365,0.230
0218-0023,2012,Public Water Supply,Guilford,Haw River (02-1),well #4,Well,0.019,365,0.069
0218-0023,2013,Public Water Supply,Guilford,Haw River (02-1),Well #1,Well,0.007,365,0.029
0218-0023,2013,Public Water Supply,Guilford,Haw River (02-1),Well #2,Well,0.043,365,0.230
0218-0023,2013,Public Water Supply,Guilford,Haw River (02-1),well #4,Well,0.019,365,0.069
0218-0023,2014,Public Water Supply,Guilford,Haw River (02-1),Well #1,Well,0.007,365,0.029
0218-0023,2014,Public Water Supply,Guilford,Haw River (02-1),Well #2,Well,0.046,365,0.173
0218-0023,2014,Public Water Supply,Guilford,Haw River (02-1),well #4,Well,0.020,365,0.069
0218-0023,2015,Public Water Supply,Guilford,Haw River (02-1),Well #1,Well,0.006,316,0.029
0218-0023,2015,Public Water Supply,Guilford,Haw River (02-1),Well #2,Well,0.052,365,0.173
0218-0023,2015,Public Water Supply,Guilford,Haw River (02-1),well #4,Well,0.020,365,0.069
0218-0023,2016,Public Water Supply,Guilford,Haw River (02-1),Well #1,Well,0.008,366,0.029
0218-0023,2016,Public Water Supply,Guilford,Haw River (02-1),Well #2,Well,0.057,366,0.173
0218-0023,2016,Public Water Supply,Guilford,Haw River (02-1),well #4,Well,0.022,366,0.069
0218-0023,2017,Public Water Supply,Guilford,Haw River (02-1),Well #1,Well,0.007,365,0.029
0218-0023,2017,Public Water Supply,Guilford,Haw River (02-1),Well #2,Well,0.047,365,0.173
0218-0023,2017,Public Water Supply,Guilford,Haw River (02-1),well #4,Well,0.012,365,0.069
0218-0024,2010,Public Water Supply,Guilford,Haw River (02-1),No Sources Listed.,,,,
0218-0024,2011,Public Water Supply,Guilford,Haw River (02-1),W00001,Well,0.008,365,0.000
0218-0024,2011,Public Water Supply,Guilford,Haw River (02-1),W00002,Well,0.008,365,0.000
0218-0024,2012,Public Water Supply,Guilford,Haw River (02-1),W00001,Well,0.005,365,0.000
0218-0024,2012,Public Water Supply,Guilford,Haw River (02-1),W00002,Well,0.008,365,0.000
0218-0024,2013,Public Water Supply,Guilford,Haw River (02-1),W00001,Well,3.136,365,0.050
0218-0024,2013,Public Water Supply,Guilford,Haw River (02-1),W00002,Well,4.060,365,0.000
0218-0024,2014,Public Water Supply,Guilford,Haw River (02-1),Well 1,Well,0.007,365,0.050
0218-0024,2014,Public Water Supply,Guilford,Haw River (02-1),Well 2,Well,0.009,365,0.063
0218-0024,2015,Public Water Supply,Guilford,Haw River (02-1),Well 1,Well,0.007,365,0.050
0218-0024,2015,Public Water Supply,Guilford,Haw River (02-1),Well 2,Well,0.008,365,0.063
0218-0024,2016,Public Water Supply,Guilford,Haw River (02-1),Well 1,Well,0.008,300,0.050
0218-0024,2016,Public Water Supply,Guilford,Haw River (02-1),Well 2,Well,0.011,366,0.063
0218-0024,2017,Public Water Supply,Guilford,Haw River (02-1),Well 1,Well,0.010,365,0.050
0218-0024,2017,Public Water Supply,Guilford,Haw River (02-1),Well 2,Well,0.008,365,0.063
0218-0703,2010,Public Water Supply,Guilford,Haw River (02-1),No Sources Listed.,,,,
0218-0703,2011,Public Water Supply,Guilford,Haw River (02-1),Well #5,Well,0.011,365,0.121
0218-0703,2011,Public Water Supply,Guilford,Haw River (02-1),Well #6,Well,0.000,0,0.000
0218-0703,2011,Public Water Supply,Guilford,Haw River (02-1),Well #7,Well,0.000,0,0.000
0218-0703,2012,Public Water Supply,Guilford,Haw River (02-1),Well #5,Well,0.010,366,0.121
0218-0703,2012,Public Water Supply,Guilford,Haw River (02-1),Well #6,Well,0.004,275,0.000
0218-0703,2012,Public Water Supply,Guilford,Haw River (02-1),Well #7,Well,0.036,275,0.000
0218-0703,2013,Public Water Supply,Guilford,Haw River (02-1),Well #5,Well,0.013,365,0.121
0218-0703,2013,Public Water Supply,Guilford,Haw River (02-1),Well #6,Well,0.000,214,0.000
0218-0703,2013,Public Water Supply,Guilford,Haw River (02-1),Well #7,Well,0.013,365,0.000
0218-0703,2014,Public Water Supply,Guilford,Haw River (02-1),Well #5,Well,0.042,365,0.085
0218-0703,2014,Public Water Supply,Guilford,Haw River (02-1),Well #6,Well,0.015,21,0.158
